candidate_number,card_name,move_name,declared_damage,initial_player_hp,initial_opponent_hp,actual_player_hp,actual_opponent_hp,damage_applied,returned_battle_state,returned_new_state,original_state_unchanged,expected_damage_applied,expected_hp_reached,player_hp_unchanged,turn_advanced,side_switched,hp_nonnegative,transition_passed,error_type,error_message,source_files
12,Charmander,"[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]",50.0,200.0,500.0,200.0,450.0,50.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
13,Charmander,[0.2 0.2 1. 0. 0. 0. 0. 1.55],20.0,200.0,500.0,200.0,480.0,20.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
14,Charmander,"[0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.55]",20.0,200.0,500.0,200.0,480.0,20.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
15,Charmander,[0.08 0.1 1. 0. 0. 0. 0. 1.38],16.0,200.0,500.0,200.0,484.0,16.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
16,Charmander,"[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]",16.0,200.0,500.0,200.0,484.0,16.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
17,Eevee,[0.2 0.2 1. 0. 0. 0. 0. 1.55],31.0,200.0,500.0,200.0,469.0,31.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
18,Eevee,"[0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.55]",31.0,200.0,500.0,200.0,469.0,31.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
19,Eevee,[0.08 0.1 0. 0. 0. 0. 0. 0.38],20.0,200.0,500.0,200.0,480.0,20.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
20,Eevee,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",20.0,200.0,500.0,200.0,480.0,20.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
21,Eevee,[0.2 0.2 0. 0. 0. 0. 0. 0.55],20.0,200.0,500.0,200.0,480.0,20.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
22,Eevee,"[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]",20.0,200.0,500.0,200.0,480.0,20.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
23,Eevee,[0.08 0.1 1. 0. 0. 0. 0. 1.38],18.0,200.0,500.0,200.0,482.0,18.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
24,Eevee,"[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]",18.0,200.0,500.0,200.0,482.0,18.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
25,Meowth,[0.24 0.2 0. 0. 0. 0. 0. 0.64],60.0,200.0,500.0,200.0,440.0,60.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
26,Meowth,"[0.24, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.639999999999999]",60.0,200.0,500.0,200.0,440.0,60.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
27,Meowth,[0.24 0.2 1. 0. 0. 0. 0. 1.64],33.0,200.0,500.0,200.0,467.0,33.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
28,Meowth,"[0.24, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.6400000000000001]",33.0,200.0,500.0,200.0,467.0,33.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
29,Meowth,[0.08 0.1 0. 0. 0. 0. 0. 0.38],20.0,200.0,500.0,200.0,480.0,20.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
30,Meowth,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",20.0,200.0,500.0,200.0,480.0,20.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
31,Meowth,[0.08 0.1 1. 0. 0. 0. 0. 1.38],8.0,200.0,500.0,200.0,492.0,8.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
32,Meowth,"[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]",8.0,200.0,500.0,200.0,492.0,8.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
