expanded_pair_id,source_pair_id,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,evaluation_batch_number,acting_card,opposing_card,acting_energy,opposing_energy,legal_moves,opponent_selected_move,player_selected_move,selected_move_agreement,opponent_confidence,player_confidence,confidence_difference_player_minus_opponent,absolute_confidence_difference,opponent_routing_reason,player_routing_reason,routing_reason_agreement,opponent_move_legal,player_move_legal,legality_agreement,opponent_fallback_used,player_fallback_used,fallback_agreement,context_match,pair_valid
4WE_PAIR_003_V03,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.84,0.842,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_003_V04,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.868,0.87,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_004_V01,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.87,0.872,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_004_V02,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.842,0.844,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_004_V03,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.842,0.844,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_004_V04,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.87,0.872,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_005_V01,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.976,0.978,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_005_V02,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.918,0.926,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_005_V03,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.918,0.926,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_005_V04,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.976,0.978,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_006_V01,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.976,0.978,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_006_V02,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.918,0.926,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_006_V03,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.918,0.926,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_006_V04,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.976,0.978,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_007_V01,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.852,0.854,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_007_V02,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.824,0.826,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_007_V03,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.824,0.826,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_007_V04,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.852,0.854,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_008_V01,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_008_V02,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_008_V03,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_008_V04,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_009_V01,4WC_PAIR_009,T52_S002__BASELINE,BASELINE,5,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_009_V02,4WC_PAIR_009,T52_S002__BASELINE,BASELINE,5,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_009_V03,4WC_PAIR_009,T52_S002__BASELINE,BASELINE,5,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_009_V04,4WC_PAIR_009,T52_S002__BASELINE,BASELINE,5,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_010_V01,4WC_PAIR_010,T52_S002__BASELINE,BASELINE,7,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.868,0.87,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_010_V02,4WC_PAIR_010,T52_S002__BASELINE,BASELINE,7,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.84,0.842,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_010_V03,4WC_PAIR_010,T52_S002__BASELINE,BASELINE,7,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.84,0.842,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_010_V04,4WC_PAIR_010,T52_S002__BASELINE,BASELINE,7,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.868,0.87,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_011_V01,4WC_PAIR_011,T52_S002__HP_PRESSURE,HP_PRESSURE,1,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.958,0.96,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_011_V02,4WC_PAIR_011,T52_S002__HP_PRESSURE,HP_PRESSURE,1,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.9,0.908,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_011_V03,4WC_PAIR_011,T52_S002__HP_PRESSURE,HP_PRESSURE,1,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.9,0.908,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_011_V04,4WC_PAIR_011,T52_S002__HP_PRESSURE,HP_PRESSURE,1,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.958,0.96,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_012_V01,4WC_PAIR_012,T52_S002__HP_PRESSURE,HP_PRESSURE,3,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.976,0.978,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_012_V02,4WC_PAIR_012,T52_S002__HP_PRESSURE,HP_PRESSURE,3,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.918,0.926,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_012_V03,4WC_PAIR_012,T52_S002__HP_PRESSURE,HP_PRESSURE,3,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.918,0.926,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_012_V04,4WC_PAIR_012,T52_S002__HP_PRESSURE,HP_PRESSURE,3,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.976,0.978,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_013_V01,4WC_PAIR_013,T52_S003__BASELINE,BASELINE,2,OBSERVED_ENERGY_CONTEXT,3,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_013_V02,4WC_PAIR_013,T52_S003__BASELINE,BASELINE,2,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Charmander,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_013_V03,4WC_PAIR_013,T52_S003__BASELINE,BASELINE,2,SYMMETRIC_TWO_ENERGY,4,Eevee,Charmander,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_013_V04,4WC_PAIR_013,T52_S003__BASELINE,BASELINE,2,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Charmander,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_014_V01,4WC_PAIR_014,T52_S003__BASELINE,BASELINE,4,OBSERVED_ENERGY_CONTEXT,3,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_014_V02,4WC_PAIR_014,T52_S003__BASELINE,BASELINE,4,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Charmander,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_014_V03,4WC_PAIR_014,T52_S003__BASELINE,BASELINE,4,SYMMETRIC_TWO_ENERGY,4,Eevee,Charmander,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_014_V04,4WC_PAIR_014,T52_S003__BASELINE,BASELINE,4,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Charmander,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_015_V01,4WC_PAIR_015,T52_S003__HP_PRESSURE,HP_PRESSURE,2,OBSERVED_ENERGY_CONTEXT,3,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.974,0.976,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_015_V02,4WC_PAIR_015,T52_S003__HP_PRESSURE,HP_PRESSURE,2,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Charmander,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.916,0.924,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_015_V03,4WC_PAIR_015,T52_S003__HP_PRESSURE,HP_PRESSURE,2,SYMMETRIC_TWO_ENERGY,4,Eevee,Charmander,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.916,0.924,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_015_V04,4WC_PAIR_015,T52_S003__HP_PRESSURE,HP_PRESSURE,2,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Charmander,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.974,0.976,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_016_V01,4WC_PAIR_016,T52_S003__HP_PRESSURE,HP_PRESSURE,4,OBSERVED_ENERGY_CONTEXT,3,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.974,0.976,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_016_V02,4WC_PAIR_016,T52_S003__HP_PRESSURE,HP_PRESSURE,4,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Charmander,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.916,0.924,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_016_V03,4WC_PAIR_016,T52_S003__HP_PRESSURE,HP_PRESSURE,4,SYMMETRIC_TWO_ENERGY,4,Eevee,Charmander,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.916,0.924,0.008000000000000007,0.008000000000000007,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_016_V04,4WC_PAIR_016,T52_S003__HP_PRESSURE,HP_PRESSURE,4,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Charmander,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.974,0.976,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_017_V01,4WC_PAIR_017,T52_S004__BASELINE,BASELINE,1,OBSERVED_ENERGY_CONTEXT,3,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.852,0.854,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_017_V02,4WC_PAIR_017,T52_S004__BASELINE,BASELINE,1,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Charmander,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.824,0.826,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_017_V03,4WC_PAIR_017,T52_S004__BASELINE,BASELINE,1,SYMMETRIC_TWO_ENERGY,4,Eevee,Charmander,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.824,0.826,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
