card_name,move_name,damage,source_records,unique_source_files,maximum_source_priority,source_files,damage_conflict,all_damage_values,is_existing_benchmark_move,trusted_source_available,source_agreement_sufficient,fixed_damage_supported,candidate_eligible,candidate_type,move_dictionary
Charmander,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",50.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[50.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]"", ""damage"": 50.0}"
Charmander,[0.2 0.2 0. 0. 0. 0. 0. 0.55],50.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[50.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.2 0.2 0. 0. 0. 0. 0. 0.55]"", ""damage"": 50.0}"
Charmander,"[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]",50.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[50.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]"", ""damage"": 50.0}"
Charmander,[0.2 0.2 1. 0. 0. 0. 0. 1.55],20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.2 0.2 1. 0. 0. 0. 0. 1.55]"", ""damage"": 20.0}"
Charmander,"[0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.55]",20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.55]"", ""damage"": 20.0}"
Charmander,[0.08 0.1 1. 0. 0. 0. 0. 1.38],16.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[16.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08 0.1 1. 0. 0. 0. 0. 1.38]"", ""damage"": 16.0}"
Charmander,"[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]",16.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[16.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]"", ""damage"": 16.0}"
Charmander,Live Coal,20.0,6,6,-5,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook52\\section5\\section5b_expanded_turn_results.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook53\\section6\\section6e_tournament_replay_turns.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_preferred_move_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_safe_action_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_simulator_supported_move_records.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4r_verified_attack_energy_readiness.csv""]",True,"[1.0, 2.0, 20.0]",True,False,True,True,False,CURRENT_BENCHMARK_MOVE,"{""name"": ""Live Coal"", ""damage"": 20.0}"
Eevee,[0.2 0.2 1. 0. 0. 0. 0. 1.55],31.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[31.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.2 0.2 1. 0. 0. 0. 0. 1.55]"", ""damage"": 31.0}"
Eevee,"[0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.55]",31.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[31.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.55]"", ""damage"": 31.0}"
Eevee,[0.08 0.1 0. 0. 0. 0. 0. 0.38],20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08 0.1 0. 0. 0. 0. 0. 0.38]"", ""damage"": 20.0}"
Eevee,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]"", ""damage"": 20.0}"
Eevee,[0.2 0.2 0. 0. 0. 0. 0. 0.55],20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.2 0.2 0. 0. 0. 0. 0. 0.55]"", ""damage"": 20.0}"
Eevee,"[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]",20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]"", ""damage"": 20.0}"
Eevee,[0.08 0.1 1. 0. 0. 0. 0. 1.38],18.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[18.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08 0.1 1. 0. 0. 0. 0. 1.38]"", ""damage"": 18.0}"
Eevee,"[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]",18.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[18.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]"", ""damage"": 18.0}"
Eevee,Quick Attack,20.0,6,6,-5,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook52\\section5\\section5b_expanded_turn_results.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook53\\section6\\section6e_tournament_replay_turns.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_preferred_move_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_safe_action_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_simulator_supported_move_records.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4r_verified_attack_energy_readiness.csv""]",True,"[0.0, 3.0, 20.0]",True,False,True,True,False,CURRENT_BENCHMARK_MOVE,"{""name"": ""Quick Attack"", ""damage"": 20.0}"
Eevee,Ascension,0.0,7,7,-5,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook52\\section5\\section5b_expanded_turn_results.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook53\\section6\\section6e_tournament_replay_turns.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_move_source_agreement.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_preferred_move_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_safe_action_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_simulator_supported_move_records.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4r_verified_attack_energy_readiness.csv""]",True,"[0.0, 2.0]",True,False,True,True,False,CURRENT_BENCHMARK_MOVE,"{""name"": ""Ascension"", ""damage"": 0.0}"
Meowth,[0.24 0.2 0. 0. 0. 0. 0. 0.64],60.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[60.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.24 0.2 0. 0. 0. 0. 0. 0.64]"", ""damage"": 60.0}"
Meowth,"[0.24, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.639999999999999]",60.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[60.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.24, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.639999999999999]"", ""damage"": 60.0}"
Meowth,[0.24 0.2 1. 0. 0. 0. 0. 1.64],33.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[33.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.24 0.2 1. 0. 0. 0. 0. 1.64]"", ""damage"": 33.0}"
Meowth,"[0.24, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.6400000000000001]",33.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[33.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.24, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.6400000000000001]"", ""damage"": 33.0}"
Meowth,[0.08 0.1 0. 0. 0. 0. 0. 0.38],20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08 0.1 0. 0. 0. 0. 0. 0.38]"", ""damage"": 20.0}"
Meowth,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]"", ""damage"": 20.0}"
Meowth,[0.08 0.1 1. 0. 0. 0. 0. 1.38],8.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[8.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08 0.1 1. 0. 0. 0. 0. 1.38]"", ""damage"": 8.0}"
Meowth,"[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]",8.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[8.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE,"{""name"": ""[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]"", ""damage"": 8.0}"
Meowth,Tuck Tail,0.0,6,6,-5,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook52\\section5\\section5b_expanded_turn_results.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook53\\section6\\section6e_tournament_replay_turns.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_move_source_agreement.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_preferred_move_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_safe_action_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_simulator_supported_move_records.csv""]",True,"[0.0, 2.0, 60.0]",True,False,True,True,False,CURRENT_BENCHMARK_MOVE,"{""name"": ""Tuck Tail"", ""damage"": 0.0}"
