module,class,method,signature,parameter_names,parameter_count,replay_suitability_score,labeling_suitability_score
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_backward_hook,"(self, hook: collections.abc.Callable[['Module', tuple[torch.Tensor, ...] | torch.Tensor, tuple[torch.Tensor, ...] | torch.Tensor], tuple[torch.Tensor, ...] | torch.Tensor | None]) -> torch.utils.hooks.RemovableHandle","['hook', 'tuple[torch.Tensor', '...] | torch.Tensor', 'tuple[torch.Tensor', '...] | torch.Tensor]', 'tuple[torch.Tensor', '...] | torch.Tensor | None]']",7,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_buffer,"(self, name: str, tensor: torch.Tensor | None, persistent: bool = True) -> None","['name', 'tensor', 'persistent']",3,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_forward_hook,"(self, hook: collections.abc.Callable[[~T, tuple[typing.Any, ...], typing.Any], typing.Any | None] | collections.abc.Callable[[~T, tuple[typing.Any, ...], dict[str, typing.Any], typing.Any], typing.Any | None], *, prepend: bool = False, with_kwargs: bool = False, always_call: bool = False) -> torch.utils.hooks.RemovableHandle","['hook', 'tuple[typing.Any', '...]', 'typing.Any]', 'typing.Any | None] | collections.abc.Callable[[~T', 'tuple[typing.Any', '...]', 'dict[str', 'typing.Any]', 'typing.Any]', 'typing.Any | None]', 'prepend', 'with_kwargs', 'always_call']",14,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_forward_pre_hook,"(self, hook: collections.abc.Callable[[~T, tuple[typing.Any, ...]], typing.Any | None] | collections.abc.Callable[[~T, tuple[typing.Any, ...], dict[str, typing.Any]], tuple[typing.Any, dict[str, typing.Any]] | None], *, prepend: bool = False, with_kwargs: bool = False) -> torch.utils.hooks.RemovableHandle","['hook', 'tuple[typing.Any', '...]]', 'typing.Any | None] | collections.abc.Callable[[~T', 'tuple[typing.Any', '...]', 'dict[str', 'typing.Any]]', 'tuple[typing.Any', 'dict[str', 'typing.Any]] | None]', 'prepend', 'with_kwargs']",13,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_full_backward_hook,"(self, hook: collections.abc.Callable[['Module', tuple[torch.Tensor, ...] | torch.Tensor, tuple[torch.Tensor, ...] | torch.Tensor], tuple[torch.Tensor, ...] | torch.Tensor | None], prepend: bool = False) -> torch.utils.hooks.RemovableHandle","['hook', 'tuple[torch.Tensor', '...] | torch.Tensor', 'tuple[torch.Tensor', '...] | torch.Tensor]', 'tuple[torch.Tensor', '...] | torch.Tensor | None]', 'prepend']",8,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_full_backward_pre_hook,"(self, hook: collections.abc.Callable[['Module', tuple[torch.Tensor, ...] | torch.Tensor], tuple[torch.Tensor, ...] | torch.Tensor | None], prepend: bool = False) -> torch.utils.hooks.RemovableHandle","['hook', 'tuple[torch.Tensor', '...] | torch.Tensor]', 'tuple[torch.Tensor', '...] | torch.Tensor | None]', 'prepend']",6,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_load_state_dict_post_hook,"(self, hook)",['hook'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_load_state_dict_pre_hook,"(self, hook)",['hook'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_module,"(self, name: str, module: Optional[ForwardRef('Module')]) -> None","['name', 'module']",2,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_parameter,"(self, name: str, param: torch.nn.parameter.Parameter | None) -> None","['name', 'param']",2,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_state_dict_post_hook,"(self, hook)",['hook'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,register_state_dict_pre_hook,"(self, hook)",['hook'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,requires_grad_,"(self, requires_grad: bool = True) -> Self",['requires_grad'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,set_submodule,"(self, target: str, module: 'Module', strict: bool = False) -> None","['target', 'module', 'strict']",3,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,share_memory,(self) -> Self,[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,state_dict,"(self, *args, destination=None, prefix='', keep_vars=False)","['args', 'destination', 'prefix', 'keep_vars']",4,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,to,"(self, *args, **kwargs)","['args', 'kwargs']",2,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,to_empty,"(self, *, device: str | torch.device | int | None, recurse: bool = True) -> Self","['device', 'recurse']",2,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,train,"(self, mode: bool = True) -> Self",['mode'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,type,"(self, dst_type: torch.dtype | str) -> Self",['dst_type'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,xpu,"(self, device: int | torch.device | None = None) -> Self",['device'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,zero_grad,"(self, set_to_none: bool = True) -> None",['set_to_none'],1,0.0,0.0
