path,rows,columns,card_columns,move_columns,damage_columns,energy_columns,hp_columns,effect_columns,has_move_related_column
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section4\section4b_legality_aware_full_dataset.csv,1060,72,"[""variant_name"", ""baseline_name"", ""player_card"", ""opponent_card"", ""prize_cards_remaining"", ""active_card"", ""inactive_card"", ""active_card_can_use__ascension"", ""active_card_can_use__bind_down"", ""active_card_can_use__live_coal"", ""active_card_can_use__pass"", ""active_card_can_use__quick_attack"", ""active_card_can_use__tuck_tail""]","[""legal_move_count"", ""legal_moves"", ""expert_move"", ""expert_move_key"", ""legal_move_list"", ""normalized_legal_moves"", ""recomputed_legal_move_count"", ""legal_move_signature"", ""normalized_expert_move"", ""expert_move_is_legal"", ""single_legal_move_flag"", ""multi_legal_move_flag"", ""is_legal__quick_attack"", ""legal_action_flag_total"", ""active_card_can_use__quick_attack""]","[""player_damage"", ""opponent_damage"", ""acting_damage"", ""defending_damage"", ""damage_difference"", ""absolute_damage_difference"", ""damage_band""]","[""player_energy"", ""opponent_energy"", ""acting_energy"", ""defending_energy"", ""energy_difference"", ""absolute_energy_difference"", ""energy_band""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section8\policy_dataset\section8c_expert_policy_dataset.csv,1060,37,"[""variant_name"", ""baseline_name"", ""player_card"", ""opponent_card"", ""prize_cards_remaining""]","[""legal_move_count"", ""legal_moves"", ""expert_move"", ""expert_move_key""]","[""player_damage"", ""opponent_damage""]","[""player_energy"", ""opponent_energy""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section8\batch_search\section8b_search_labels.csv,1060,33,"[""variant_name"", ""baseline_name"", ""player_card"", ""opponent_card"", ""prize_cards_remaining""]","[""legal_move_count"", ""legal_move_reprs"", ""search_best_move_repr"", ""search_best_move_key""]","[""player_damage"", ""opponent_damage""]","[""player_energy"", ""opponent_energy""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook50\section3\feature_engineering\section3a_full_feature_dataset.csv,1060,49,"[""prize_cards_remaining_numeric"", ""variant_name_category"", ""baseline_name_category"", ""player_card_category"", ""opponent_card_category"", ""card_matchup""]","[""expert_action_display"", ""legal_move_count_numeric"", ""legal_attack_count"", ""multiple_actions_available"", ""legal_move_signature""]","[""player_damage_numeric"", ""opponent_damage_numeric"", ""damage_advantage_player"", ""side_relative_damage_advantage"", ""total_damage_in_play"", ""damage_ratio_player"", ""damage_tied_indicator""]","[""player_energy_numeric"", ""opponent_energy_numeric"", ""energy_advantage_player"", ""side_relative_energy_advantage"", ""total_energy_in_play"", ""energy_ratio_player"", ""energy_tied_indicator""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\section7c_state_variant_manifest.csv,1060,28,"[""variant_name"", ""baseline_name"", ""player_card"", ""opponent_card"", ""prize_cards_remaining""]","[""player_damage_fraction"", ""opponent_damage_fraction"", ""legal_move_count""]","[""player_damage"", ""opponent_damage"", ""player_damage_fraction"", ""opponent_damage_fraction""]","[""player_energy"", ""opponent_energy""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section4\section4b_legality_aware_training_features.csv,1060,41,"[""prize_cards_remaining"", ""active_card_can_use__ascension"", ""active_card_can_use__bind_down"", ""active_card_can_use__live_coal"", ""active_card_can_use__pass"", ""active_card_can_use__quick_attack"", ""active_card_can_use__tuck_tail"", ""player_card"", ""opponent_card"", ""active_card"", ""inactive_card""]","[""recomputed_legal_move_count"", ""single_legal_move_flag"", ""multi_legal_move_flag"", ""is_legal__quick_attack"", ""active_card_can_use__quick_attack"", ""legal_move_signature""]","[""player_damage"", ""opponent_damage"", ""acting_damage"", ""defending_damage"", ""damage_difference"", ""absolute_damage_difference"", ""damage_band""]","[""player_energy"", ""opponent_energy"", ""acting_energy"", ""defending_energy"", ""energy_difference"", ""absolute_energy_difference"", ""energy_band""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section5\section5a_group_safe_split_assignments.csv,1060,6,[],"[""expert_move"", ""legal_move_signature""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section4\section4b_legality_aware_training_targets.csv,1060,1,[],"[""expert_move""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\actor_relative_search_expert_dataset.jsonl,1000,30,"[""actor_name"", ""defender_name"", ""legal_move_names"", ""selected_move_name""]","[""legal_move_features"", ""legal_move_names"", ""legal_move_count"", ""selected_move_index"", ""selected_move_name"", ""terminal_after_move""]","[""damage_applied""]",[],"[""defender_hp_before"", ""defender_hp_after""]",[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\real_search_expert_dataset.jsonl,1000,25,"[""legal_move_names"", ""selected_move_name"", ""player_name"", ""opponent_name""]","[""legal_move_features"", ""legal_move_names"", ""legal_move_count"", ""selected_move_index"", ""selected_move_name"", ""terminal_after_move""]","[""damage_applied""]",[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\expert_replay_dataset.parquet,1000,21,[],"[""move_0"", ""move_1"", ""move_2"", ""move_3"", ""move_4"", ""move_5"", ""move_6"", ""move_7"", ""selected_move""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\actor_relative_search_expert_dataset.parquet,1000,30,"[""actor_name"", ""defender_name"", ""legal_move_names"", ""selected_move_name""]","[""legal_move_features"", ""legal_move_names"", ""legal_move_count"", ""selected_move_index"", ""selected_move_name"", ""terminal_after_move""]","[""damage_applied""]",[],"[""defender_hp_before"", ""defender_hp_after""]",[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\real_search_expert_dataset.parquet,1000,25,"[""legal_move_names"", ""selected_move_name"", ""player_name"", ""opponent_name""]","[""legal_move_features"", ""legal_move_names"", ""legal_move_count"", ""selected_move_index"", ""selected_move_name"", ""terminal_after_move""]","[""damage_applied""]",[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section6\section6a_train_predictions.csv,840,25,"[""baseline_name""]","[""expert_move"", ""actual_move"", ""predicted_move"", ""predicted_move_legal"", ""legal_move_signature"", ""legal_move_count"", ""probability__Ascension"", ""probability__Bind Down"", ""probability__Live Coal"", ""probability__Pass"", ""probability__Quick Attack"", ""probability__Tuck Tail""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section5\section5b_train_encoded_features.csv,840,64,"[""numeric__prize_cards_remaining"", ""numeric__active_card_can_use__ascension"", ""numeric__active_card_can_use__bind_down"", ""numeric__active_card_can_use__live_coal"", ""numeric__active_card_can_use__pass"", ""numeric__active_card_can_use__quick_attack"", ""numeric__active_card_can_use__tuck_tail"", ""categorical__player_card_Bulbasaur"", ""categorical__player_card_Charmander"", ""categorical__player_card_Eevee"", ""categorical__player_card_Meowth"", ""categorical__opponent_card_Charmander"", ""categorical__opponent_card_Eevee"", ""categorical__active_card_Bulbasaur"", ""categorical__active_card_Charmander"", ""categorical__active_card_Eevee"", ""categorical__active_card_Meowth"", ""categorical__inactive_card_Bulbasaur"", ""categorical__inactive_card_Charmander"", ""categorical__inactive_card_Eevee"", ""categorical__inactive_card_Meowth""]","[""numeric__recomputed_legal_move_count"", ""numeric__single_legal_move_flag"", ""numeric__multi_legal_move_flag"", ""numeric__is_legal__quick_attack"", ""numeric__active_card_can_use__quick_attack"", ""categorical__legal_move_signature_ascension"", ""categorical__legal_move_signature_ascension | quick attack"", ""categorical__legal_move_signature_bind down"", ""categorical__legal_move_signature_live coal"", ""categorical__legal_move_signature_pass"", ""categorical__legal_move_signature_tuck tail""]","[""numeric__player_damage"", ""numeric__opponent_damage"", ""numeric__acting_damage"", ""numeric__defending_damage"", ""numeric__damage_difference"", ""numeric__absolute_damage_difference"", ""categorical__damage_band_HIGH_DAMAGE"", ""categorical__damage_band_LOW_DAMAGE"", ""categorical__damage_band_MEDIUM_DAMAGE""]","[""numeric__player_energy"", ""numeric__opponent_energy"", ""numeric__acting_energy"", ""numeric__defending_energy"", ""numeric__energy_difference"", ""numeric__absolute_energy_difference"", ""categorical__energy_band_LOW"", ""categorical__energy_band_READY"", ""categorical__energy_band_ZERO""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section5\section5a_train_features.csv,840,41,"[""prize_cards_remaining"", ""active_card_can_use__ascension"", ""active_card_can_use__bind_down"", ""active_card_can_use__live_coal"", ""active_card_can_use__pass"", ""active_card_can_use__quick_attack"", ""active_card_can_use__tuck_tail"", ""player_card"", ""opponent_card"", ""active_card"", ""inactive_card""]","[""recomputed_legal_move_count"", ""single_legal_move_flag"", ""multi_legal_move_flag"", ""is_legal__quick_attack"", ""active_card_can_use__quick_attack"", ""legal_move_signature""]","[""player_damage"", ""opponent_damage"", ""acting_damage"", ""defending_damage"", ""damage_difference"", ""absolute_damage_difference"", ""damage_band""]","[""player_energy"", ""opponent_energy"", ""acting_energy"", ""defending_energy"", ""energy_difference"", ""absolute_energy_difference"", ""energy_band""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section5\section5a_train_targets.csv,840,1,[],"[""expert_move""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook50\section2\dataset_splits\section2a_train_dataset.csv,740,38,"[""variant_name"", ""baseline_name"", ""player_card"", ""opponent_card"", ""prize_cards_remaining""]","[""legal_move_count"", ""legal_moves"", ""expert_move"", ""expert_move_key""]","[""player_damage"", ""opponent_damage""]","[""player_energy"", ""opponent_energy""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook50\section3\feature_engineering\section3a_train_feature_dataset.csv,740,49,"[""prize_cards_remaining_numeric"", ""variant_name_category"", ""baseline_name_category"", ""player_card_category"", ""opponent_card_category"", ""card_matchup""]","[""expert_action_display"", ""legal_move_count_numeric"", ""legal_attack_count"", ""multiple_actions_available"", ""legal_move_signature""]","[""player_damage_numeric"", ""opponent_damage_numeric"", ""damage_advantage_player"", ""side_relative_damage_advantage"", ""total_damage_in_play"", ""damage_ratio_player"", ""damage_tied_indicator""]","[""player_energy_numeric"", ""opponent_energy_numeric"", ""energy_advantage_player"", ""side_relative_energy_advantage"", ""total_energy_in_play"", ""energy_ratio_player"", ""energy_tied_indicator""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4d_strict_card_source_inventory.csv,647,15,"[""file_name"", ""card_id_column"", ""card_name_column"", ""explicit_card_schema"", ""exact_tournament_card_matches""]","[""move_column""]","[""damage_column""]",[],[],"[""effect_column""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section3\section3b_structured_schema_discovery.csv,647,10,"[""card_columns""]","[""move_columns"", ""has_move_related_column""]","[""damage_columns""]","[""energy_columns""]","[""hp_columns""]","[""effect_columns""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook28\self_play_dataset.csv,350,9,[],"[""chosen_move"", ""num_legal_moves""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook28\training_examples.pkl,350,8,[],"[""legal_moves"", ""chosen_move""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4s_repaired_attack_energy_readiness.csv,269,17,"[""active_card"", ""attack_name""]","[""attack_name"", ""action_legal""]",[],"[""energy_requirement"", ""observed_energy"", ""energy_observed"", ""energy_source"", ""energy_status"", ""energy_ready"", ""confirmed_energy_ready_but_not_legal"", ""confirmed_legal_with_insufficient_energy"", ""legal_with_unknown_energy""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4r_verified_attack_energy_readiness.csv,269,16,"[""active_card"", ""official_card_id"", ""attack_name"", ""normalized_attack_name""]","[""attack_name"", ""normalized_attack_name"", ""action_legal""]","[""base_damage""]","[""acting_energy"", ""energy_requirement"", ""energy_ready"", ""energy_ready_but_not_legal"", ""legal_without_energy_ready""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_move_source_agreement.csv,268,8,"[""normalized_card_name"", ""normalized_move_name""]","[""normalized_move_name"", ""is_existing_benchmark_move""]","[""parsed_damage""]",[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4l_actionable_annotations.csv,264,30,[],"[""action_type"", ""has_action_dictionary"", ""has_additional_actions"", ""has_action_destination"", ""has_next_action"", ""action_destination"", ""next_action""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4l_annotation_structure.csv,264,30,[],"[""action_type"", ""has_action_dictionary"", ""has_additional_actions"", ""has_action_destination"", ""has_next_action"", ""action_destination"", ""next_action""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook46\actor_perspective_suspicious_records.csv,250,13,"[""player_name"", ""opponent_name"", ""selected_move_name""]","[""selected_move_name"", ""selected_move_index"", ""legal_move_count"", ""terminal_after_move""]","[""damage_applied""]",[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section3\section3b_legality_aware_metadata.csv,210,15,"[""player_card"", ""opponent_card""]","[""raw_predicted_move"", ""selected_move"", ""routed_move"", ""masking_changed_action_recomputed""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section3\section3a_legality_aware_routing_analysis.csv,210,71,"[""condition_name"", ""player_card"", ""opponent_card"", ""active_card"", ""inactive_card"", ""single_legal_move_name""]","[""legal_moves"", ""selected_move"", ""raw_predicted_move"", ""selected_probability"", ""masking_changed_action"", ""legal_move_list"", ""legal_move_count_recomputed"", ""normalized_selected_move"", ""normalized_legal_moves"", ""masking_changed_action_recomputed"", ""masking_changed_action_stored"", ""selected_probability_numeric"", ""selected_masked_probability_numeric"", ""raw_to_selected_probability_gap"", ""masked_probability_gain"", ""legal_move_signature"", ""single_legal_move"", ""legal_action__ascension"", ""legal_action__bind_down"", ""legal_action__live_coal"", ""legal_action__pass"", ""legal_action__quick_attack"", ""legal_action__tuck_tail"", ""single_legal_move_name"", ""routed_move"", ""normalized_routed_move"", ""routed_move_legal""]","[""player_damage"", ""opponent_damage"", ""acting_damage"", ""defending_damage"", ""damage_band""]","[""starting_player_energy"", ""starting_opponent_energy"", ""player_energy"", ""opponent_energy"", ""acting_energy"", ""defending_energy"", ""energy_band""]","[""starting_player_hp"", ""starting_opponent_hp""]",[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section2\section2b_root_cause_decision_data.csv,210,53,"[""condition_name"", ""player_card"", ""opponent_card"", ""active_card"", ""inactive_card""]","[""legal_moves"", ""selected_move"", ""raw_predicted_move"", ""selected_probability"", ""masking_changed_action"", ""legal_move_list"", ""legal_move_count_recomputed"", ""normalized_selected_move"", ""normalized_legal_moves"", ""masking_changed_action_recomputed"", ""masking_changed_action_stored"", ""selected_probability_numeric"", ""selected_masked_probability_numeric"", ""raw_to_selected_probability_gap"", ""masked_probability_gain"", ""legal_move_signature"", ""single_legal_move""]","[""player_damage"", ""opponent_damage"", ""acting_damage"", ""defending_damage"", ""damage_band""]","[""starting_player_energy"", ""starting_opponent_energy"", ""player_energy"", ""opponent_energy"", ""acting_energy"", ""defending_energy"", ""energy_band""]","[""starting_player_hp"", ""starting_opponent_hp""]",[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section2\section2a_masking_decision_analysis.csv,210,37,"[""condition_name"", ""player_card"", ""opponent_card""]","[""legal_moves"", ""selected_move"", ""raw_predicted_move"", ""selected_probability"", ""masking_changed_action"", ""legal_move_list"", ""legal_move_count_recomputed"", ""normalized_selected_move"", ""normalized_legal_moves"", ""masking_changed_action_recomputed"", ""masking_changed_action_stored"", ""selected_probability_numeric"", ""selected_masked_probability_numeric"", ""raw_to_selected_probability_gap"", ""masked_probability_gain""]",[],"[""starting_player_energy"", ""starting_opponent_energy""]","[""starting_player_hp"", ""starting_opponent_hp""]",[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4s_repaired_energy_decision_data.csv,210,38,"[""active_card"", ""active_card_resolved"", ""official_card_id""]","[""legal_moves"", ""selected_move"", ""legal_moves_resolved"", ""selected_move_resolved"", ""verified_printed_attacks"", ""verified_printed_attack_count"", ""legal_printed_attacks"", ""legal_control_actions"", ""legal_printed_attack_count"", ""legal_control_action_count"", ""genuine_multi_attack_state"", ""printed_attack_plus_control_state""]","[""acting_damage_resolved""]","[""acting_energy_resolved"", ""recovered_acting_energy"", ""energy_source"", ""energy_observed""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4r_verified_action_decision_data.csv,210,35,"[""active_card"", ""active_card_resolved"", ""official_card_id""]","[""legal_moves"", ""selected_move"", ""legal_moves_resolved"", ""selected_move_resolved"", ""verified_printed_attacks"", ""verified_printed_attack_count"", ""legal_printed_attacks"", ""legal_control_actions"", ""legal_printed_attack_count"", ""legal_control_action_count"", ""genuine_multi_attack_state"", ""printed_attack_plus_control_state""]","[""acting_damage_resolved""]","[""acting_energy_resolved""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section2\section2a_decision_opportunity_analysis.csv,210,29,"[""active_card"", ""player_card"", ""opponent_card""]","[""legal_moves"", ""selected_move"", ""legal_move_list"", ""legal_move_count"", ""action_state_type""]",[],[],"[""final_player_hp"", ""final_opponent_hp""]","[""decision_outcome_context""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section6\section6b_notebook52_benchmark_features.csv,210,41,"[""prize_cards_remaining"", ""active_card_can_use__ascension"", ""active_card_can_use__bind_down"", ""active_card_can_use__live_coal"", ""active_card_can_use__pass"", ""active_card_can_use__quick_attack"", ""active_card_can_use__tuck_tail"", ""player_card"", ""opponent_card"", ""active_card"", ""inactive_card""]","[""recomputed_legal_move_count"", ""single_legal_move_flag"", ""multi_legal_move_flag"", ""is_legal__quick_attack"", ""active_card_can_use__quick_attack"", ""legal_move_signature""]","[""player_damage"", ""opponent_damage"", ""acting_damage"", ""defending_damage"", ""damage_difference"", ""absolute_damage_difference"", ""damage_band""]","[""player_energy"", ""opponent_energy"", ""acting_energy"", ""defending_energy"", ""energy_difference"", ""absolute_energy_difference"", ""energy_band""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section6\section6b_notebook52_vs_notebook53_comparison.csv,210,21,"[""active_card""]","[""legal_move_signature"", ""legal_move_count"", ""notebook52_selected_move"", ""notebook52_masking_changed_action"", ""notebook53_routed_move"", ""notebook53_routed_move_legal"", ""action_state_type""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section3\section3b_legality_aware_model_features.csv,210,37,"[""active_card_can_use__ascension"", ""active_card_can_use__bind_down"", ""active_card_can_use__live_coal"", ""active_card_can_use__pass"", ""active_card_can_use__quick_attack"", ""active_card_can_use__tuck_tail"", ""active_card"", ""inactive_card""]","[""legal_move_count_recomputed"", ""single_legal_move_flag"", ""multi_legal_move_flag"", ""is_legal__quick_attack"", ""active_card_can_use__quick_attack"", ""legal_move_signature""]","[""acting_damage"", ""defending_damage"", ""damage_difference"", ""absolute_damage_difference"", ""damage_band""]","[""acting_energy"", ""defending_energy"", ""energy_difference"", ""absolute_energy_difference"", ""energy_band""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\section5b_expanded_policy_history.csv,210,14,[],"[""legal_moves"", ""selected_move"", ""raw_predicted_move"", ""selected_probability"", ""masking_changed_action""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section6\section6e_tournament_replay_policy_history.csv,210,14,"[""active_card""]","[""legal_moves"", ""selected_move""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\section5b_expanded_turn_results.csv,210,14,"[""pokemon_name"", ""move_name""]","[""move_name""]","[""damage""]",[],"[""player_hp_after"", ""opponent_hp_after""]",[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section6\section6e_tournament_replay_turns.csv,210,14,"[""pokemon_name"", ""move_name""]","[""move_name""]","[""damage""]",[],"[""player_hp_after"", ""opponent_hp_after""]",[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section6\section6c_policy_adapter_validation.csv,210,8,[],"[""legal_moves"", ""selected_move"", ""expected_move"", ""selected_move_legal"", ""matches_expected_move""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section3\section3b_legality_aware_targets.csv,210,1,[],"[""routed_move""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook50\section2\dataset_splits\section2a_validation_dataset.csv,160,38,"[""variant_name"", ""baseline_name"", ""player_card"", ""opponent_card"", ""prize_cards_remaining""]","[""legal_move_count"", ""legal_moves"", ""expert_move"", ""expert_move_key""]","[""player_damage"", ""opponent_damage""]","[""player_energy"", ""opponent_energy""]",[],[],True
