file_name,class_name,method_name,signature,line_number,docstring_summary
advanced_search.py,SearchResult,as_dict,"(self, move_to_string: Optional[MoveToStringFn] = None) -> Dict[str, Any]",206,Convert the result into a display-friendly dictionary.
advanced_search.py,SearchStats,reset,(self) -> None,158,Reset every search statistic.
advanced_search.py,SearchStats,nodes_per_second,(self) -> float,177,Return average nodes searched per second.
advanced_search.py,SearchStats,transposition_hit_rate,(self) -> float,184,Return transposition hits divided by searched nodes.
advanced_search.py,SearchStats,as_dict,"(self) -> Dict[str, Any]",190,Return statistics as a display-friendly dictionary.
advanced_search.py,ZobristHasher,__init__,"(self, state_features: StateFeaturesFn, seed: int = 20260712) -> None",59,Initialize the hasher.
advanced_search.py,ZobristHasher,clear,(self) -> None,81,Clear generated feature values and restore the original seed.
advanced_search.py,ZobristHasher,feature_count,(self) -> int,91,Return the number of distinct registered features.
advanced_search.py,ZobristHasher,_value_for_feature,"(self, feature: Hashable) -> int",97,Return the 64-bit random number assigned to one feature.
advanced_search.py,ZobristHasher,hash_features,"(self, features: Sequence[Hashable]) -> int",112,Hash a supplied sequence of position features.
advanced_search.py,ZobristHasher,hash_state,"(self, state: State) -> int",121,Convert a state into features and return its 64-bit hash.
advanced_search.py,ZobristHasher,__call__,"(self, state: State) -> int",130,Allow the hasher itself to be used as a state_key function.
agent_decision.py,AgentDecision,summary,"(self) -> dict[str, Any]",19,Return a compact readable decision summary.
battle_agent.py,PokemonBattleAgent,__init__,"(self, engine: Any) -> None",13,
battle_agent.py,PokemonBattleAgent,choose_move,"(self, state: Any, depth: int = 6) -> AgentDecision",16,Search the current state and return the selected move.
battle_simulation.py,BattleSimulationResult,turn_count,(self) -> int,56,
battle_simulation.py,BattleSimulationResult,as_dict,"(self) -> dict[str, Any]",59,
battle_simulation.py,BattleTurnRecord,as_dict,"(self) -> dict[str, Any]",30,
battle_state.py,BattleState,__post_init__,(self) -> None,40,
