source_type,candidate_name,candidate_path,rows,columns,scenario_id_column,unique_scenarios,build_test_passed,build_test_error
REPORT,section4wc_opportunity_normalized_comparison_design.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wc_opportunity_normalized_comparison_design.csv,46,21,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4wc_scenario_coverage.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wc_scenario_coverage.csv,10,7,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4wd_opportunity_normalized_paired_results.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wd_opportunity_normalized_paired_results.csv,23,27,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4wd_paired_side_case_results.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wd_paired_side_case_results.csv,46,32,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4wd_selected_move_disagreements.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wd_selected_move_disagreements.csv,0,27,source_scenario_id,0,False,
REPORT,section4we_balanced_multi_action_expanded_design.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4we_balanced_multi_action_expanded_design.csv,184,26,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4wf_expanded_case_results.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wf_expanded_case_results.csv,184,34,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4wf_expanded_paired_results.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wf_expanded_paired_results.csv,92,30,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4wf_selected_move_disagreements.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wf_selected_move_disagreements.csv,0,30,source_scenario_id,0,False,
REPORT,section4whb_case_probability_scores.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4whb_case_probability_scores.csv,184,22,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4whb_closest_ascension_cases.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4whb_closest_ascension_cases.csv,25,22,source_scenario_id,4,False,KeyError: 'scenario_id'
REPORT,section4whd_closest_ascension_states.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4whd_closest_ascension_states.csv,25,27,source_scenario_id,4,False,KeyError: 'scenario_id'
REPORT,section4whd_state_level_score_attribution.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4whd_state_level_score_attribution.csv,184,27,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4whd_strongest_quick_attack_states.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4whd_strongest_quick_attack_states.csv,25,27,source_scenario_id,5,False,KeyError: 'scenario_id'
REPORT,section4whe_counterfactual_case_results.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4whe_counterfactual_case_results.csv,1656,31,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4whe_prediction_flip_cases.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4whe_prediction_flip_cases.csv,368,31,source_scenario_id,10,False,KeyError: 'scenario_id'
REPORT,section4whe_strongest_ascension_promoting_cases.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4whe_strongest_ascension_promoting_cases.csv,50,31,source_scenario_id,6,False,KeyError: 'scenario_id'
